family,source_document,printed_page_range,pdf_page_range,extracted_row_count,verified_row_count,reviewer,status,unresolved_issues
WSBR,KAT_NX_KR 2022.pdf,KR 429,433,15,15,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSGV,KAT_NX_KR 2022.pdf,KR 426,430,3,3,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSL,KAT_NX_KR 2022.pdf,KR 426,430,15,15,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSTAR,KAT_NX_KR 2022.pdf,KR 428,432,15,15,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSTB,KAT_NX_KR 2022.pdf,KR 449,453,2,2,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSTR,KAT_NX_KR 2022.pdf,KR 429,433,15,15,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSV,KAT_NX_KR 2022.pdf,KR 426,430,3,3,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WSWV,KAT_NX_KR 2022.pdf,KR 427,431,3,3,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WTK,KAT_NX_KR 2022.pdf,KR 356,360,2,2,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WWA,KAT_NX_KR 2022.pdf,KR 356,360,2,2,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
WWU,KAT_NX_KR 2022.pdf,KR 355,359,3,3,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
Z,KAT_NX_KR 2022.pdf,KR 448,452,1,1,Stage 5 extraction: rendered-table review plus exact PDF-text code match,verified,None
